Alternative,Value,Cost
orange,65.31857306,55.0168051
orange,66.30946753,54.84017982
orange,71.67612494,58.92807904
orange,67.21152517,58.47129947
orange,67.38786321,48.8026289
orange,72.14519496,63.16229382
orange,68.38274862,59.99890294
orange,63.2048163,68.66482949
orange,64.93944144,61.74079295
orange,65.66301409,57.21216276
orange,70.67224539,70.18956459
orange,68.07944148,70.3289041
orange,68.20231435,54.12515273
orange,67.33204815,60.87612782
orange,65.3324766,58.15501233
orange,72.36073941,59.74820459
orange,68.49355143,59.91017091
orange,61.10014853,53.95239815
orange,69.1040677,60.14235832
orange,65.58162578,65.99698945
orange,63.79652888,58.34363998
orange,66.34607526,58.34829316
orange,63.92198666,64.59428803
orange,64.81332631,62.59358496
orange,65.1248822,52.40602073
orange,61.93992007,59.91422789
orange,69.51336113,65.61418894
orange,67.46011935,64.6611054
orange,63.58558919,60.67980642
orange,70.76144476,61.88488323
orange,68.27939266,54.21225915
orange,66.11478555,60.20052627
orange,69.68537698,55.18220426
orange,69.63440046,57.16792773
orange,69.46474324,62.74241474
orange,69.06592076,54.45242755
orange,68.66175296,60.067673
orange,66.81426487,60.71332816
orange,66.08211201,59.21964788
orange,65.858587,66.28875529
orange,64.91587906,54.91061069
orange,66.37624817,61.42452105
orange,63.20381095,58.64427773
orange,73.5068679,57.95667102
orange,70.62388599,60.85636494
orange,63.63067425,54.91839764
orange,65.79134549,53.74619633
orange,65.60003394,57.0220765
orange,69.33989536,66.0070286
orange,66.7498928,59.2230591
orange,67.75995554,60.32573759
orange,66.91435973,58.24061345
orange,66.87138863,60.88197093
orange,71.10580685,55.19328183
orange,66.32268704,63.63164187
orange,71.54941181,61.33882104
orange,62.35374159,55.77418871
orange,68.75384125,59.21821298
orange,67.37156273,61.86532648
orange,67.64782471,61.23092393
orange,68.13891845,64.92773606
orange,65.49302964,56.54804898
orange,66.00037785,63.46454646
orange,63.94427385,63.14619204
orange,63.78462632,58.35006747
orange,67.91058592,55.09629323
orange,68.34462934,54.64341924
orange,67.15901268,60.83114783
orange,69.7668024,58.71549307
orange,73.15025406,66.11641067
orange,65.5269065,61.14055184
orange,60.07249337,57.5122205
orange,70.01721557,54.89783101
orange,64.87239771,56.6703933
orange,64.93597415,60.37155357
orange,70.07671411,57.19626141
orange,66.14568098,61.05692048
orange,63.33784686,57.66264779
orange,67.54391044,58.57776036
orange,66.58332591,56.07796131
orange,67.01729256,66.62017434
orange,68.1558412,60.33048693
orange,65.8880199,59.92253456
orange,68.93312965,52.23255034
orange,66.33854031,61.6391676
orange,67.99534589,54.90550564
orange,70.29051704,55.4339137
orange,68.30554447,62.67336468
orange,66.02220524,57.18919741
orange,70.44642286,52.00651088
orange,69.98051157,66.07961644
orange,68.64519088,49.4903723
orange,67.71619521,61.29124612
orange,65.11628177,63.068997
orange,71.08195735,56.47612853
orange,65.19922124,60.77714821
orange,73.56199898,60.75652155
orange,71.59783188,63.16249261
orange,66.29289892,60.93639755
orange,63.9207373,58.02046488
orange,64.86878031,62.66396823
orange,67.77065113,62.20248943
orange,66.25992436,55.25372386
orange,65.9573722,53.39685026
orange,64.1451443,59.64111016
orange,66.86491683,57.9041505
orange,64.64528659,55.05784355
orange,61.99617419,59.33572272
orange,65.85932044,53.72001389
orange,69.75698983,59.64490541
orange,65.27395911,56.50028645
orange,68.82389297,62.8286571
orange,62.14635188,68.69795656
orange,66.8333141,55.33608303
orange,68.55822161,63.23065668
orange,67.90346009,62.30059891
orange,67.31702858,58.7192231
orange,65.07788198,57.1854145
orange,64.45088696,65.30123083
orange,63.92761363,50.97816873
orange,67.35293979,56.42722083
orange,64.15757616,53.25262623
orange,65.52832767,64.58125376
orange,66.23172342,58.23718627
orange,72.53158602,56.9013152
orange,65.04415029,71.7361779
orange,67.70615972,58.79985093
orange,67.23388255,57.22500275
orange,64.1144301,60.199461
orange,66.78607574,52.72630152
orange,71.33365258,60.96121057
orange,68.35451216,58.6153472
orange,67.12369877,60.87410049
orange,65.7325095,55.07051746
orange,60.84025834,54.90806463
orange,70.39401164,56.22634135
orange,62.61807979,55.92804171
orange,69.21984253,64.19619987
orange,72.72731071,65.31658225
orange,62.66832052,58.37243219
orange,69.10535301,57.56425376
orange,66.21340753,57.68384468
orange,62.28356752,59.27694591
orange,62.45599704,59.38761693
orange,62.19539148,60.16013755
orange,65.40728043,56.01328424
orange,62.61473325,55.61241444
orange,69.06375032,63.78831065
orange,73.30032682,56.80549056
orange,63.13890857,60.21218278
orange,69.36321654,58.77211786
orange,69.30712672,55.16860243
orange,67.99660774,61.36424764
orange,63.97487018,59.69241949
orange,66.64164218,64.59913342
orange,66.15881399,59.46983834
orange,68.6889686,57.67381697
orange,65.88268373,60.11317965
orange,69.93092016,54.2576334
orange,65.87625743,55.65642379
orange,70.1581344,61.041093
orange,63.85246898,57.6675164
orange,63.21953427,58.73615621
orange,76.7231198,58.53911316
orange,65.74942724,56.39794952
orange,67.89468277,50.92524536
orange,68.90970902,60.39533988
orange,65.54865812,62.04655803
orange,68.55058613,53.84513506
orange,68.10689358,64.92961087
orange,66.35385848,60.54061929
orange,67.1958791,64.36656118
orange,66.89779824,55.17131812
orange,73.3853557,59.66712515
orange,64.77599171,58.59994416
orange,63.7120112,62.07402973
orange,67.1133652,56.69656173
orange,67.93144225,58.95960931
orange,68.30957044,51.88536341
orange,65.624904,55.88951423
orange,63.8100216,59.50013553
orange,70.78955553,56.17471403
orange,65.95104884,58.82572206
orange,64.40346141,57.1282961
orange,66.29116129,61.42772054
orange,66.40847232,63.67395323
orange,70.32976087,55.70999435
orange,67.25421188,57.77185377
orange,69.26216136,64.75904503
orange,65.50212395,50.20430698
orange,67.64333593,57.72064883
orange,66.02594227,67.25881714
orange,67.28375058,67.77436028
orange,64.31390993,59.62638129
orange,63.0675954,55.5455642
orange,72.99164015,59.66182968
orange,68.80212647,56.38890242
orange,63.24618592,64.81126913
orange,65.16650225,55.77406938
orange,63.44355975,60.49164638
orange,73.59643105,61.4794003
orange,70.93723893,55.96995936
orange,66.20456483,62.40609873
orange,68.62958218,56.00828012
orange,65.75698016,61.52095932
orange,65.57125932,63.38664653
orange,64.63419149,55.04622831
orange,65.2161482,63.43198016
orange,71.9527224,57.04186852
orange,66.83791562,60.17741355
orange,67.35773571,59.80734989
orange,67.73106229,57.29121445
orange,70.69742764,60.07241148
orange,65.45180851,54.0782763
orange,64.02247855,58.45545251
orange,72.0270908,62.30316333
orange,65.67651035,50.3035014
orange,64.83080209,53.04829525
orange,63.29118064,54.35224977
orange,63.14585283,52.64364122
orange,65.27807956,60.67833216
orange,68.85395745,55.0282866
orange,70.32954442,50.34181166
orange,69.12276506,56.44972494
orange,65.90902811,57.43745899
orange,67.17924981,62.4271419
orange,64.88621061,54.58499146
orange,64.84834552,63.64515702
orange,69.6539515,60.59345086
orange,63.95322226,60.44940863
orange,72.8658819,55.58989732
orange,66.72904122,66.81467152
orange,67.64361648,58.34291667
orange,64.78441689,51.70040966
orange,65.27683393,58.18457411
orange,63.0489516,51.26222372
orange,66.45122383,57.75795954
orange,68.25694721,57.31109199
orange,67.97291303,61.72731876
orange,64.65539054,63.03798474
orange,64.63413409,56.09558014
orange,65.49340384,62.22443547
orange,71.48818201,64.69729244
orange,63.58808914,55.86342398
orange,66.46284522,56.39038253
orange,72.70708547,61.60311345
orange,66.69707534,59.73219188
orange,62.92047789,61.19509984
orange,65.00569169,64.61873718
orange,68.45637994,60.54833248
orange,65.87319138,63.20680508
orange,65.31437091,61.49162185
orange,65.9682483,60.73448156
orange,67.27148994,60.54433775
orange,71.79552631,64.16529322
orange,66.73430466,54.99096051
orange,70.24239849,54.57926908
orange,68.89226235,61.36778401
orange,66.65908031,58.52124134
orange,62.40129399,59.29602085
orange,65.43664805,61.96510951
orange,65.53038864,62.01318019
orange,67.1414633,57.94931799
orange,70.90059603,57.74982452
orange,73.87923692,59.29439444
orange,71.64274318,63.25207116
orange,66.60054711,60.70408195
orange,61.73041781,64.73203004
orange,65.83366041,58.96945252
orange,67.26762167,63.50267042
orange,69.53503901,62.53200924
orange,69.88758391,61.44833384
orange,69.05292829,60.65880283
orange,62.81417695,57.88047041
orange,69.54892914,58.56384996
orange,65.66032835,59.91758198
orange,67.5244081,59.19555556
orange,67.22365353,62.77289787
orange,68.28450029,58.56273151
orange,67.07402495,58.71849231
orange,61.99757471,57.06272365
orange,69.20948789,58.44665469
orange,68.15807971,58.72493743
orange,66.20304512,49.7450569
orange,67.35443353,53.54067321
orange,67.40211594,58.71005236
orange,67.66305841,57.9388649
orange,71.9225385,54.19652269
orange,66.34284886,51.0338473
orange,67.50419615,57.58252312
orange,70.50515162,61.61398306
orange,70.16254307,66.09295453
orange,70.43578933,58.84617283
orange,65.267596,64.97273936
orange,73.00744819,59.33208863
orange,67.20010261,59.46212842
orange,72.60055553,60.29930125
orange,62.94729194,55.51769102
orange,67.06295076,58.79312715
orange,70.74974371,62.6337908
orange,64.85427344,56.00109685
orange,64.7419331,57.71357572
orange,64.18438389,54.408917
orange,63.84246016,60.41740879
orange,65.6885214,60.69919913
orange,67.99353752,61.5933894
orange,60.95736851,54.12075987
orange,67.6359413,59.42894014
orange,70.71002514,55.22376923
orange,73.11272205,58.99846141
orange,70.90352798,64.37049568
orange,69.27032429,56.98589885
orange,61.8198088,61.86673328
orange,65.19547988,56.00132566
orange,65.94386063,57.08588716
orange,69.11057171,60.754887
orange,66.682986,56.28355092
orange,63.22405412,52.18814066
orange,72.05330712,64.06067374
orange,69.73417388,60.44142895
orange,67.71229082,56.66544224
orange,70.65432583,51.02368485
orange,62.98367714,66.60883909
orange,68.98246089,72.56148329
orange,65.43126287,59.82992163
orange,69.05123657,62.39922659
orange,66.81753414,63.89824125
orange,68.89888214,56.19278227
orange,71.00655285,57.59521508
orange,67.02187027,52.09151585
orange,70.05267591,56.05368707
orange,63.43469789,61.48963913
orange,64.83518668,57.83713604
orange,71.55765313,58.14315386
orange,68.13216392,58.54976179
orange,60.84333154,51.54533207
orange,62.90788764,62.35051974
orange,66.39765695,53.22602844
orange,69.59733821,58.16571935
orange,66.69435023,57.24574615
orange,68.87256242,58.12562473
orange,69.87701613,64.83986378
