Alternative,Cost
orange,55.0168051
orange,54.84017982
orange,58.92807904
orange,58.47129947
orange,48.8026289
orange,63.16229382
orange,59.99890294
orange,68.66482949
orange,61.74079295
orange,57.21216276
orange,70.18956459
orange,70.3289041
orange,54.12515273
orange,60.87612782
orange,58.15501233
orange,59.74820459
orange,59.91017091
orange,53.95239815
orange,60.14235832
orange,65.99698945
orange,58.34363998
orange,58.34829316
orange,64.59428803
orange,62.59358496
orange,52.40602073
orange,59.91422789
orange,65.61418894
orange,64.6611054
orange,60.67980642
orange,61.88488323
orange,54.21225915
orange,60.20052627
orange,55.18220426
orange,57.16792773
orange,62.74241474
orange,54.45242755
orange,60.067673
orange,60.71332816
orange,59.21964788
orange,66.28875529
orange,54.91061069
orange,61.42452105
orange,58.64427773
orange,57.95667102
orange,60.85636494
orange,54.91839764
orange,53.74619633
orange,57.0220765
orange,66.0070286
orange,59.2230591
orange,60.32573759
orange,58.24061345
orange,60.88197093
orange,55.19328183
orange,63.63164187
orange,61.33882104
orange,55.77418871
orange,59.21821298
orange,61.86532648
orange,61.23092393
orange,64.92773606
orange,56.54804898
orange,63.46454646
orange,63.14619204
orange,58.35006747
orange,55.09629323
orange,54.64341924
orange,60.83114783
orange,58.71549307
orange,66.11641067
orange,61.14055184
orange,57.5122205
orange,54.89783101
orange,56.6703933
orange,60.37155357
orange,57.19626141
orange,61.05692048
orange,57.66264779
orange,58.57776036
orange,56.07796131
orange,66.62017434
orange,60.33048693
orange,59.92253456
orange,52.23255034
orange,61.6391676
orange,54.90550564
orange,55.4339137
orange,62.67336468
orange,57.18919741
orange,52.00651088
orange,66.07961644
orange,49.4903723
orange,61.29124612
orange,63.068997
orange,56.47612853
orange,60.77714821
orange,60.75652155
orange,63.16249261
orange,60.93639755
orange,58.02046488
orange,62.66396823
orange,62.20248943
orange,55.25372386
orange,53.39685026
orange,59.64111016
orange,57.9041505
orange,55.05784355
orange,59.33572272
orange,53.72001389
orange,59.64490541
orange,56.50028645
orange,62.8286571
orange,68.69795656
orange,55.33608303
orange,63.23065668
orange,62.30059891
orange,58.7192231
orange,57.1854145
orange,65.30123083
orange,50.97816873
orange,56.42722083
orange,53.25262623
orange,64.58125376
orange,58.23718627
orange,56.9013152
orange,71.7361779
orange,58.79985093
orange,57.22500275
orange,60.199461
orange,52.72630152
orange,60.96121057
orange,58.6153472
orange,60.87410049
orange,55.07051746
orange,54.90806463
orange,56.22634135
orange,55.92804171
orange,64.19619987
orange,65.31658225
orange,58.37243219
orange,57.56425376
orange,57.68384468
orange,59.27694591
orange,59.38761693
orange,60.16013755
orange,56.01328424
orange,55.61241444
orange,63.78831065
orange,56.80549056
orange,60.21218278
orange,58.77211786
orange,55.16860243
orange,61.36424764
orange,59.69241949
orange,64.59913342
orange,59.46983834
orange,57.67381697
orange,60.11317965
orange,54.2576334
orange,55.65642379
orange,61.041093
orange,57.6675164
orange,58.73615621
orange,58.53911316
orange,56.39794952
orange,50.92524536
orange,60.39533988
orange,62.04655803
orange,53.84513506
orange,64.92961087
orange,60.54061929
orange,64.36656118
orange,55.17131812
orange,59.66712515
orange,58.59994416
orange,62.07402973
orange,56.69656173
orange,58.95960931
orange,51.88536341
orange,55.88951423
orange,59.50013553
orange,56.17471403
orange,58.82572206
orange,57.1282961
orange,61.42772054
orange,63.67395323
orange,55.70999435
orange,57.77185377
orange,64.75904503
orange,50.20430698
orange,57.72064883
orange,67.25881714
orange,67.77436028
orange,59.62638129
orange,55.5455642
orange,59.66182968
orange,56.38890242
orange,64.81126913
orange,55.77406938
orange,60.49164638
orange,61.4794003
orange,55.96995936
orange,62.40609873
orange,56.00828012
orange,61.52095932
orange,63.38664653
orange,55.04622831
orange,63.43198016
orange,57.04186852
orange,60.17741355
orange,59.80734989
orange,57.29121445
orange,60.07241148
orange,54.0782763
orange,58.45545251
orange,62.30316333
orange,50.3035014
orange,53.04829525
orange,54.35224977
orange,52.64364122
orange,60.67833216
orange,55.0282866
orange,50.34181166
orange,56.44972494
orange,57.43745899
orange,62.4271419
orange,54.58499146
orange,63.64515702
orange,60.59345086
orange,60.44940863
orange,55.58989732
orange,66.81467152
orange,58.34291667
orange,51.70040966
orange,58.18457411
orange,51.26222372
orange,57.75795954
orange,57.31109199
orange,61.72731876
orange,63.03798474
orange,56.09558014
orange,62.22443547
orange,64.69729244
orange,55.86342398
orange,56.39038253
orange,61.60311345
orange,59.73219188
orange,61.19509984
orange,64.61873718
orange,60.54833248
orange,63.20680508
orange,61.49162185
orange,60.73448156
orange,60.54433775
orange,64.16529322
orange,54.99096051
orange,54.57926908
orange,61.36778401
orange,58.52124134
orange,59.29602085
orange,61.96510951
orange,62.01318019
orange,57.94931799
orange,57.74982452
orange,59.29439444
orange,63.25207116
orange,60.70408195
orange,64.73203004
orange,58.96945252
orange,63.50267042
orange,62.53200924
orange,61.44833384
orange,60.65880283
orange,57.88047041
orange,58.56384996
orange,59.91758198
orange,59.19555556
orange,62.77289787
orange,58.56273151
orange,58.71849231
orange,57.06272365
orange,58.44665469
orange,58.72493743
orange,49.7450569
orange,53.54067321
orange,58.71005236
orange,57.9388649
orange,54.19652269
orange,51.0338473
orange,57.58252312
orange,61.61398306
orange,66.09295453
orange,58.84617283
orange,64.97273936
orange,59.33208863
orange,59.46212842
orange,60.29930125
orange,55.51769102
orange,58.79312715
orange,62.6337908
orange,56.00109685
orange,57.71357572
orange,54.408917
orange,60.41740879
orange,60.69919913
orange,61.5933894
orange,54.12075987
orange,59.42894014
orange,55.22376923
orange,58.99846141
orange,64.37049568
orange,56.98589885
orange,61.86673328
orange,56.00132566
orange,57.08588716
orange,60.754887
orange,56.28355092
orange,52.18814066
orange,64.06067374
orange,60.44142895
orange,56.66544224
orange,51.02368485
orange,66.60883909
orange,72.56148329
orange,59.82992163
orange,62.39922659
orange,63.89824125
orange,56.19278227
orange,57.59521508
orange,52.09151585
orange,56.05368707
orange,61.48963913
orange,57.83713604
orange,58.14315386
orange,58.54976179
orange,51.54533207
orange,62.35051974
orange,53.22602844
orange,58.16571935
orange,57.24574615
orange,58.12562473
orange,64.83986378
orange,56.67176033
orange,55.86760962
orange,52.92138402
orange,55.77720767
orange,54.33526117
orange,60.63178478
orange,55.54798302
orange,60.21616814
orange,58.41429005
orange,53.26575128
orange,55.83756886
orange,62.54044982
orange,62.61230434
orange,67.0222931
orange,58.98567877
orange,53.01669274
orange,55.92633189
orange,60.63395402
orange,66.60054534
orange,59.44003649
orange,63.5615473
orange,62.07232522
orange,54.32763351
orange,58.31554939
orange,64.22104615
