Alternative,Value
orange,65.31857306
orange,66.30946753
orange,71.67612494
orange,67.21152517
orange,67.38786321
orange,72.14519496
orange,68.38274862
orange,63.2048163
orange,64.93944144
orange,65.66301409
orange,70.67224539
orange,68.07944148
orange,68.20231435
orange,67.33204815
orange,65.3324766
orange,72.36073941
orange,68.49355143
orange,61.10014853
orange,69.1040677
orange,65.58162578
orange,63.79652888
orange,66.34607526
orange,63.92198666
orange,64.81332631
orange,65.1248822
orange,61.93992007
orange,69.51336113
orange,67.46011935
orange,63.58558919
orange,70.76144476
orange,68.27939266
orange,66.11478555
orange,69.68537698
orange,69.63440046
orange,69.46474324
orange,69.06592076
orange,68.66175296
orange,66.81426487
orange,66.08211201
orange,65.858587
orange,64.91587906
orange,66.37624817
orange,63.20381095
orange,73.5068679
orange,70.62388599
orange,63.63067425
orange,65.79134549
orange,65.60003394
orange,69.33989536
orange,66.7498928
orange,67.75995554
orange,66.91435973
orange,66.87138863
orange,71.10580685
orange,66.32268704
orange,71.54941181
orange,62.35374159
orange,68.75384125
orange,67.37156273
orange,67.64782471
orange,68.13891845
orange,65.49302964
orange,66.00037785
orange,63.94427385
orange,63.78462632
orange,67.91058592
orange,68.34462934
orange,67.15901268
orange,69.7668024
orange,73.15025406
orange,65.5269065
orange,60.07249337
orange,70.01721557
orange,64.87239771
orange,64.93597415
orange,70.07671411
orange,66.14568098
orange,63.33784686
orange,67.54391044
orange,66.58332591
orange,67.01729256
orange,68.1558412
orange,65.8880199
orange,68.93312965
orange,66.33854031
orange,67.99534589
orange,70.29051704
orange,68.30554447
orange,66.02220524
orange,70.44642286
orange,69.98051157
orange,68.64519088
orange,67.71619521
orange,65.11628177
orange,71.08195735
orange,65.19922124
orange,73.56199898
orange,71.59783188
orange,66.29289892
orange,63.9207373
orange,64.86878031
orange,67.77065113
orange,66.25992436
orange,65.9573722
orange,64.1451443
orange,66.86491683
orange,64.64528659
orange,61.99617419
orange,65.85932044
orange,69.75698983
orange,65.27395911
orange,68.82389297
orange,62.14635188
orange,66.8333141
orange,68.55822161
orange,67.90346009
orange,67.31702858
orange,65.07788198
orange,64.45088696
orange,63.92761363
orange,67.35293979
orange,64.15757616
orange,65.52832767
orange,66.23172342
orange,72.53158602
orange,65.04415029
orange,67.70615972
orange,67.23388255
orange,64.1144301
orange,66.78607574
orange,71.33365258
orange,68.35451216
orange,67.12369877
orange,65.7325095
orange,60.84025834
orange,70.39401164
orange,62.61807979
orange,69.21984253
orange,72.72731071
orange,62.66832052
orange,69.10535301
orange,66.21340753
orange,62.28356752
orange,62.45599704
orange,62.19539148
orange,65.40728043
orange,62.61473325
orange,69.06375032
orange,73.30032682
orange,63.13890857
orange,69.36321654
orange,69.30712672
orange,67.99660774
orange,63.97487018
orange,66.64164218
orange,66.15881399
orange,68.6889686
orange,65.88268373
orange,69.93092016
orange,65.87625743
orange,70.1581344
orange,63.85246898
orange,63.21953427
orange,76.7231198
orange,65.74942724
orange,67.89468277
orange,68.90970902
orange,65.54865812
orange,68.55058613
orange,68.10689358
orange,66.35385848
orange,67.1958791
orange,66.89779824
orange,73.3853557
orange,64.77599171
orange,63.7120112
orange,67.1133652
orange,67.93144225
orange,68.30957044
orange,65.624904
orange,63.8100216
orange,70.78955553
orange,65.95104884
orange,64.40346141
orange,66.29116129
orange,66.40847232
orange,70.32976087
orange,67.25421188
orange,69.26216136
orange,65.50212395
orange,67.64333593
orange,66.02594227
orange,67.28375058
orange,64.31390993
orange,63.0675954
orange,72.99164015
orange,68.80212647
orange,63.24618592
orange,65.16650225
orange,63.44355975
orange,73.59643105
orange,70.93723893
orange,66.20456483
orange,68.62958218
orange,65.75698016
orange,65.57125932
orange,64.63419149
orange,65.2161482
orange,71.9527224
orange,66.83791562
orange,67.35773571
orange,67.73106229
orange,70.69742764
orange,65.45180851
orange,64.02247855
orange,72.0270908
orange,65.67651035
orange,64.83080209
orange,63.29118064
orange,63.14585283
orange,65.27807956
orange,68.85395745
orange,70.32954442
orange,69.12276506
orange,65.90902811
orange,67.17924981
orange,64.88621061
orange,64.84834552
orange,69.6539515
orange,63.95322226
orange,72.8658819
orange,66.72904122
orange,67.64361648
orange,64.78441689
orange,65.27683393
orange,63.0489516
orange,66.45122383
orange,68.25694721
orange,67.97291303
orange,64.65539054
orange,64.63413409
orange,65.49340384
orange,71.48818201
orange,63.58808914
orange,66.46284522
orange,72.70708547
orange,66.69707534
orange,62.92047789
orange,65.00569169
orange,68.45637994
orange,65.87319138
orange,65.31437091
orange,65.9682483
orange,67.27148994
orange,71.79552631
orange,66.73430466
orange,70.24239849
orange,68.89226235
orange,66.65908031
orange,62.40129399
orange,65.43664805
orange,65.53038864
orange,67.1414633
orange,70.90059603
orange,73.87923692
orange,71.64274318
orange,66.60054711
orange,61.73041781
orange,65.83366041
orange,67.26762167
orange,69.53503901
orange,69.88758391
orange,69.05292829
orange,62.81417695
orange,69.54892914
orange,65.66032835
orange,67.5244081
orange,67.22365353
orange,68.28450029
orange,67.07402495
orange,61.99757471
orange,69.20948789
orange,68.15807971
orange,66.20304512
orange,67.35443353
orange,67.40211594
orange,67.66305841
orange,71.9225385
orange,66.34284886
orange,67.50419615
orange,70.50515162
orange,70.16254307
orange,70.43578933
orange,65.267596
orange,73.00744819
orange,67.20010261
orange,72.60055553
orange,62.94729194
orange,67.06295076
orange,70.74974371
orange,64.85427344
orange,64.7419331
orange,64.18438389
orange,63.84246016
orange,65.6885214
orange,67.99353752
orange,60.95736851
orange,67.6359413
orange,70.71002514
orange,73.11272205
orange,70.90352798
orange,69.27032429
orange,61.8198088
orange,65.19547988
orange,65.94386063
orange,69.11057171
orange,66.682986
orange,63.22405412
orange,72.05330712
orange,69.73417388
orange,67.71229082
orange,70.65432583
orange,62.98367714
orange,68.98246089
orange,65.43126287
orange,69.05123657
orange,66.81753414
orange,68.89888214
orange,71.00655285
orange,67.02187027
orange,70.05267591
orange,63.43469789
orange,64.83518668
orange,71.55765313
orange,68.13216392
orange,60.84333154
orange,62.90788764
orange,66.39765695
orange,69.59733821
orange,66.69435023
orange,68.87256242
orange,69.87701613
orange,72.01316449
orange,67.1680502
orange,66.84405428
orange,61.74028792
orange,67.29798278
orange,65.28444983
orange,64.07797125
orange,66.46028131
orange,70.04482952
orange,61.02175453
orange,65.71816214
orange,67.34991185
orange,64.32037729
orange,68.00170883
orange,68.23428976
orange,66.90089152
orange,59.60230542
orange,74.71437444
orange,66.38410223
orange,68.95357984
orange,67.82129947
orange,70.0740197
orange,69.45297834
orange,66.37062049
orange,68.13450332
orange,64.16377351
orange,69.57076903
orange,65.61688498
orange,74.25032006
orange,62.04685331
orange,65.60803827
orange,69.47613959
orange,68.53039764
orange,65.23155688
orange,64.00965777
orange,67.43342711
orange,66.95707776
orange,61.62915629
orange,67.1036532
orange,67.57069095
orange,67.52417919
orange,63.83494887
orange,68.42839983
orange,71.13571041
orange,68.36870921
orange,63.59323459
orange,65.69306359
orange,68.03831086
orange,65.05886311
orange,60.52706099
orange,69.65275246
orange,64.51156717
orange,65.27931919
orange,71.51170183
orange,64.67756521
orange,69.53719462
orange,63.21795136
orange,65.93637279
orange,66.77933194
orange,63.49404573
orange,65.09575521
orange,66.91347534
orange,69.01208791
orange,62.04836037
orange,65.95073728
orange,69.26921932
orange,65.38357252
orange,67.68187577
orange,68.47668571
orange,67.80350505
orange,68.95977304
orange,66.63187402
orange,65.75897046
orange,59.07055314
orange,66.72117694
orange,68.29085409
orange,68.60619652
orange,65.33416495
orange,72.33850873
orange,67.85927326
orange,67.37894758
orange,70.81680034
orange,64.84460134
orange,65.64898413
orange,74.19235744
orange,67.03338756
orange,71.90070526
orange,62.68448007
orange,66.42844959
orange,68.13527171
orange,67.90011564
orange,63.98309122
orange,67.05777782
orange,63.76773804
orange,69.13810998
orange,70.25432527
orange,60.32503691
orange,70.70708039
orange,63.27686651
orange,68.36430781
orange,68.97970791
orange,66.40033052
orange,65.06465813
orange,67.49596306
orange,68.3164561
orange,69.64990846
orange,60.84298905
orange,62.0908622
orange,71.29120702
orange,70.13988654
orange,68.30586685
orange,69.14553522
orange,69.75152475
orange,59.0172316
orange,70.33083129
orange,65.54503721
orange,67.69185049
orange,66.1145266
orange,69.61589486
orange,65.95458265
orange,68.5555113
orange,65.82794506
orange,63.72163837
orange,70.63003153
