Alternative,Cost
Alternative 1,55.0168051
Alternative 1,54.84017982
Alternative 1,58.92807904
Alternative 1,58.47129947
Alternative 1,48.8026289
Alternative 1,63.16229382
Alternative 1,59.99890294
Alternative 1,68.66482949
Alternative 1,61.74079295
Alternative 1,57.21216276
Alternative 1,70.18956459
Alternative 1,70.3289041
Alternative 1,54.12515273
Alternative 1,60.87612782
Alternative 1,58.15501233
Alternative 1,59.74820459
Alternative 1,59.91017091
Alternative 1,53.95239815
Alternative 1,60.14235832
Alternative 1,65.99698945
Alternative 1,58.34363998
Alternative 1,58.34829316
Alternative 1,64.59428803
Alternative 1,62.59358496
Alternative 1,52.40602073
Alternative 1,59.91422789
Alternative 1,65.61418894
Alternative 1,64.6611054
Alternative 1,60.67980642
Alternative 1,61.88488323
Alternative 1,54.21225915
Alternative 1,60.20052627
Alternative 1,55.18220426
Alternative 1,57.16792773
Alternative 1,62.74241474
Alternative 1,54.45242755
Alternative 1,60.067673
Alternative 1,60.71332816
Alternative 1,59.21964788
Alternative 1,66.28875529
Alternative 1,54.91061069
Alternative 1,61.42452105
Alternative 1,58.64427773
Alternative 1,57.95667102
Alternative 1,60.85636494
Alternative 1,54.91839764
Alternative 1,53.74619633
Alternative 1,57.0220765
Alternative 1,66.0070286
Alternative 1,59.2230591
Alternative 1,60.32573759
Alternative 1,58.24061345
Alternative 1,60.88197093
Alternative 1,55.19328183
Alternative 1,63.63164187
Alternative 1,61.33882104
Alternative 1,55.77418871
Alternative 1,59.21821298
Alternative 1,61.86532648
Alternative 1,61.23092393
Alternative 1,64.92773606
Alternative 1,56.54804898
Alternative 1,63.46454646
Alternative 1,63.14619204
Alternative 1,58.35006747
Alternative 1,55.09629323
Alternative 1,54.64341924
Alternative 1,60.83114783
Alternative 1,58.71549307
Alternative 1,66.11641067
Alternative 1,61.14055184
Alternative 1,57.5122205
Alternative 1,54.89783101
Alternative 1,56.6703933
Alternative 1,60.37155357
Alternative 1,57.19626141
Alternative 1,61.05692048
Alternative 1,57.66264779
Alternative 1,58.57776036
Alternative 1,56.07796131
Alternative 1,66.62017434
Alternative 1,60.33048693
Alternative 1,59.92253456
Alternative 1,52.23255034
Alternative 1,61.6391676
Alternative 1,54.90550564
Alternative 1,55.4339137
Alternative 1,62.67336468
Alternative 1,57.18919741
Alternative 1,52.00651088
Alternative 1,66.07961644
Alternative 1,49.4903723
Alternative 1,61.29124612
Alternative 1,63.068997
Alternative 1,56.47612853
Alternative 1,60.77714821
Alternative 1,60.75652155
Alternative 1,63.16249261
Alternative 1,60.93639755
Alternative 1,58.02046488
Alternative 1,62.66396823
Alternative 1,62.20248943
Alternative 1,55.25372386
Alternative 1,53.39685026
Alternative 1,59.64111016
Alternative 1,57.9041505
Alternative 1,55.05784355
Alternative 1,59.33572272
Alternative 1,53.72001389
Alternative 1,59.64490541
Alternative 1,56.50028645
Alternative 1,62.8286571
Alternative 1,68.69795656
Alternative 1,55.33608303
Alternative 1,63.23065668
Alternative 1,62.30059891
Alternative 1,58.7192231
Alternative 1,57.1854145
Alternative 1,65.30123083
Alternative 1,50.97816873
Alternative 1,56.42722083
Alternative 1,53.25262623
Alternative 1,64.58125376
Alternative 1,58.23718627
Alternative 1,56.9013152
Alternative 1,71.7361779
Alternative 1,58.79985093
Alternative 1,57.22500275
Alternative 1,60.199461
Alternative 1,52.72630152
Alternative 1,60.96121057
Alternative 1,58.6153472
Alternative 1,60.87410049
Alternative 1,55.07051746
Alternative 1,54.90806463
Alternative 1,56.22634135
Alternative 1,55.92804171
Alternative 1,64.19619987
Alternative 1,65.31658225
Alternative 1,58.37243219
Alternative 1,57.56425376
Alternative 1,57.68384468
Alternative 1,59.27694591
Alternative 1,59.38761693
Alternative 1,60.16013755
Alternative 1,56.01328424
Alternative 1,55.61241444
Alternative 1,63.78831065
Alternative 1,56.80549056
Alternative 1,60.21218278
Alternative 1,58.77211786
Alternative 1,55.16860243
Alternative 1,61.36424764
Alternative 1,59.69241949
Alternative 1,64.59913342
Alternative 1,59.46983834
Alternative 1,57.67381697
Alternative 1,60.11317965
Alternative 1,54.2576334
Alternative 1,55.65642379
Alternative 1,61.041093
Alternative 1,57.6675164
Alternative 1,58.73615621
Alternative 1,58.53911316
Alternative 1,56.39794952
Alternative 1,50.92524536
Alternative 1,60.39533988
Alternative 1,62.04655803
Alternative 1,53.84513506
Alternative 1,64.92961087
Alternative 1,60.54061929
Alternative 1,64.36656118
Alternative 1,55.17131812
Alternative 1,59.66712515
Alternative 1,58.59994416
Alternative 1,62.07402973
Alternative 1,56.69656173
Alternative 1,58.95960931
Alternative 1,51.88536341
Alternative 1,55.88951423
Alternative 1,59.50013553
Alternative 1,56.17471403
Alternative 1,58.82572206
Alternative 1,57.1282961
Alternative 1,61.42772054
Alternative 1,63.67395323
Alternative 1,55.70999435
Alternative 1,57.77185377
Alternative 1,64.75904503
Alternative 1,50.20430698
Alternative 1,57.72064883
Alternative 1,67.25881714
Alternative 1,67.77436028
Alternative 1,59.62638129
Alternative 1,55.5455642
Alternative 1,59.66182968
Alternative 1,56.38890242
Alternative 1,64.81126913
Alternative 1,55.77406938
Alternative 1,60.49164638
Alternative 1,61.4794003
Alternative 1,55.96995936
Alternative 1,62.40609873
Alternative 1,56.00828012
Alternative 1,61.52095932
Alternative 1,63.38664653
Alternative 1,55.04622831
Alternative 1,63.43198016
Alternative 1,57.04186852
Alternative 1,60.17741355
Alternative 1,59.80734989
Alternative 1,57.29121445
Alternative 1,60.07241148
Alternative 1,54.0782763
Alternative 1,58.45545251
Alternative 1,62.30316333
Alternative 1,50.3035014
Alternative 1,53.04829525
Alternative 1,54.35224977
Alternative 1,52.64364122
Alternative 1,60.67833216
Alternative 1,55.0282866
Alternative 1,50.34181166
Alternative 1,56.44972494
Alternative 1,57.43745899
Alternative 1,62.4271419
Alternative 1,54.58499146
Alternative 1,63.64515702
Alternative 1,60.59345086
Alternative 1,60.44940863
Alternative 1,55.58989732
Alternative 1,66.81467152
Alternative 1,58.34291667
Alternative 1,51.70040966
Alternative 1,58.18457411
Alternative 1,51.26222372
Alternative 1,57.75795954
Alternative 1,57.31109199
Alternative 1,61.72731876
Alternative 1,63.03798474
Alternative 1,56.09558014
Alternative 1,62.22443547
Alternative 1,64.69729244
Alternative 1,55.86342398
Alternative 1,56.39038253
Alternative 1,61.60311345
Alternative 1,59.73219188
Alternative 1,61.19509984
Alternative 1,64.61873718
Alternative 1,60.54833248
Alternative 1,63.20680508
Alternative 1,61.49162185
Alternative 1,60.73448156
Alternative 1,60.54433775
Alternative 1,64.16529322
Alternative 1,54.99096051
Alternative 1,54.57926908
Alternative 1,61.36778401
Alternative 1,58.52124134
Alternative 1,59.29602085
Alternative 1,61.96510951
Alternative 1,62.01318019
Alternative 1,57.94931799
Alternative 1,57.74982452
Alternative 1,59.29439444
Alternative 1,63.25207116
Alternative 1,60.70408195
Alternative 1,64.73203004
Alternative 1,58.96945252
Alternative 1,63.50267042
Alternative 1,62.53200924
Alternative 1,61.44833384
Alternative 1,60.65880283
Alternative 1,57.88047041
Alternative 1,58.56384996
Alternative 1,59.91758198
Alternative 1,59.19555556
Alternative 1,62.77289787
Alternative 1,58.56273151
Alternative 1,58.71849231
Alternative 1,57.06272365
Alternative 1,58.44665469
Alternative 1,58.72493743
Alternative 1,49.7450569
Alternative 1,53.54067321
Alternative 1,58.71005236
Alternative 1,57.9388649
Alternative 1,54.19652269
Alternative 1,51.0338473
Alternative 1,57.58252312
Alternative 1,61.61398306
Alternative 1,66.09295453
Alternative 1,58.84617283
Alternative 1,64.97273936
Alternative 1,59.33208863
Alternative 1,59.46212842
Alternative 1,60.29930125
Alternative 1,55.51769102
Alternative 1,58.79312715
Alternative 1,62.6337908
Alternative 1,56.00109685
Alternative 1,57.71357572
Alternative 1,54.408917
Alternative 1,60.41740879
Alternative 1,60.69919913
Alternative 1,61.5933894
Alternative 1,54.12075987
Alternative 1,59.42894014
Alternative 1,55.22376923
Alternative 1,58.99846141
Alternative 1,64.37049568
Alternative 1,56.98589885
Alternative 1,61.86673328
Alternative 1,56.00132566
Alternative 1,57.08588716
Alternative 1,60.754887
Alternative 1,56.28355092
Alternative 1,52.18814066
Alternative 1,64.06067374
Alternative 1,60.44142895
Alternative 1,56.66544224
Alternative 1,51.02368485
Alternative 1,66.60883909
Alternative 1,72.56148329
Alternative 1,59.82992163
Alternative 1,62.39922659
Alternative 1,63.89824125
Alternative 1,56.19278227
Alternative 1,57.59521508
Alternative 1,52.09151585
Alternative 1,56.05368707
Alternative 1,61.48963913
Alternative 1,57.83713604
Alternative 1,58.14315386
Alternative 1,58.54976179
Alternative 1,51.54533207
Alternative 1,62.35051974
Alternative 1,53.22602844
Alternative 1,58.16571935
Alternative 1,57.24574615
Alternative 1,58.12562473
Alternative 1,64.83986378
Alternative 1,56.67176033
Alternative 1,55.86760962
Alternative 1,52.92138402
Alternative 1,55.77720767
Alternative 1,54.33526117
Alternative 1,60.63178478
Alternative 1,55.54798302
Alternative 1,60.21616814
Alternative 1,58.41429005
Alternative 1,53.26575128
Alternative 1,55.83756886
Alternative 1,62.54044982
Alternative 1,62.61230434
Alternative 1,67.0222931
Alternative 1,58.98567877
Alternative 1,53.01669274
Alternative 1,55.92633189
Alternative 1,60.63395402
Alternative 1,66.60054534
Alternative 1,59.44003649
Alternative 1,63.5615473
Alternative 1,62.07232522
Alternative 1,54.32763351
Alternative 1,58.31554939
Alternative 1,64.22104615
Alternative 1,62.50438444
Alternative 1,60.85518457
Alternative 1,60.90845698
Alternative 1,57.0343788
Alternative 1,53.72245875
Alternative 1,64.18170316
Alternative 1,53.31912203
Alternative 1,55.24441632
Alternative 1,61.51585997
Alternative 1,53.9512218
Alternative 1,56.79251835
Alternative 1,54.26880197
Alternative 1,61.48265423
Alternative 1,60.78525207
Alternative 1,60.68753877
Alternative 1,60.76985909
Alternative 1,61.22898299
Alternative 1,61.55742597
Alternative 1,51.12535377
Alternative 1,58.40473455
Alternative 1,59.44985525
Alternative 1,61.89870481
Alternative 1,54.2500557
Alternative 1,57.00159924
Alternative 1,54.70542804
Alternative 1,63.22896085
Alternative 1,64.11629033
Alternative 1,62.1507069
Alternative 1,54.11038647
Alternative 1,60.80780847
Alternative 1,63.60179675
Alternative 1,59.67176392
Alternative 1,56.73556267
Alternative 1,54.65552704
Alternative 1,56.33878882
Alternative 1,61.85939342
Alternative 1,57.2733556
Alternative 1,59.91045976
Alternative 1,64.17978318
Alternative 1,61.31333976
Alternative 1,64.45869113
Alternative 1,52.19368079
Alternative 1,57.87729488
Alternative 1,59.26027208
Alternative 1,61.31435717
Alternative 1,54.32317351
Alternative 1,62.22473942
Alternative 1,60.2295603
Alternative 1,60.05522405
Alternative 1,61.03393917
Alternative 1,58.53456624
Alternative 1,62.70218439
Alternative 1,61.59291909
Alternative 1,58.3991625
Alternative 1,63.16150808
Alternative 1,60.17023474
Alternative 1,61.6750056
Alternative 1,56.62328943
Alternative 1,65.32172735
Alternative 1,58.98404422
Alternative 1,62.39137108
Alternative 1,58.5995339
Alternative 1,57.88148037
Alternative 1,62.13775298
Alternative 1,52.66153342
Alternative 1,60.91346459
Alternative 1,60.57426549
Alternative 1,48.21868252
Alternative 1,60.47350931
Alternative 1,50.32632901
Alternative 1,61.63921751
Alternative 1,57.18434507
Alternative 1,56.2202527
Alternative 1,58.97261479
Alternative 1,64.49220818
Alternative 1,56.45870769
Alternative 1,61.23241318
Alternative 1,60.36463147
Alternative 1,54.28192548
Alternative 1,52.03591193
Alternative 1,51.02965692
Alternative 1,61.20509685
Alternative 1,58.86103175
Alternative 1,66.40228681
Alternative 1,61.29470043
Alternative 1,62.39878356
Alternative 1,64.33753434
Alternative 1,56.99712361
Alternative 1,61.04039171
Alternative 1,62.47517308
Alternative 1,64.47740675
Alternative 1,62.05060459
Alternative 1,60.68458869
Alternative 1,55.52710381
Alternative 1,61.91824144
Alternative 1,61.00106349
Alternative 1,61.53700101
Alternative 1,60.69458018
Alternative 1,58.19264782
Alternative 1,58.69253641
Alternative 1,61.74945645
Alternative 1,59.68652603
Alternative 1,55.6795657
Alternative 1,57.83936352
Alternative 1,53.7234971
Alternative 1,55.13187239
Alternative 1,58.42155572
Alternative 1,51.80746977
Alternative 1,52.2458301
Alternative 1,63.4102608
Alternative 1,56.6935243
Alternative 1,51.59323308
Alternative 1,58.54854704
Alternative 1,64.28427707
Alternative 1,61.64901719
Alternative 1,60.76553279
Alternative 1,63.73498365
Alternative 1,55.91399424
Alternative 1,61.91875677
Alternative 1,56.65165754
Alternative 1,59.00305675
Alternative 1,67.85786128
Alternative 1,62.87773758
Alternative 1,62.07203085
Alternative 1,54.56668835
Alternative 1,55.85505632
Alternative 1,68.13646592
Alternative 1,54.62679694
Alternative 1,59.8579175
Alternative 1,62.57028424
Alternative 1,63.07503189
Alternative 1,63.35644804
Alternative 1,58.34748404
Alternative 1,55.71605321
Alternative 1,57.77097107
Alternative 1,55.39160797
Alternative 1,61.50827497
Alternative 1,63.48142011
Alternative 1,67.50885421
Alternative 1,60.46445753
Alternative 1,55.50087449
Alternative 1,63.09789945
Alternative 1,62.61903557
Alternative 1,58.04700522
Alternative 1,52.76858038
Alternative 1,62.04523958
Alternative 1,63.51657758
Alternative 1,57.81956868
Alternative 1,61.14497127
Alternative 1,57.8964381
Alternative 1,61.72926098
Alternative 1,58.53083714
Alternative 1,57.62129654
Alternative 1,59.44648199
Alternative 1,57.86637874
Alternative 1,56.63593134
Alternative 1,57.73625228
Alternative 1,58.96739139
Alternative 1,59.82998056
Alternative 1,65.12969449
Alternative 1,53.56800868
Alternative 1,58.2015238
Alternative 1,61.52609251
Alternative 1,66.04808361
Alternative 1,60.70405745
Alternative 1,58.94498633
Alternative 1,57.76977236
Alternative 1,60.65723266
Alternative 1,62.95623168
Alternative 1,58.26456676
Alternative 1,59.65504563
Alternative 1,59.86774538
Alternative 1,61.91711054
Alternative 1,63.44552163
Alternative 1,60.11664327
Alternative 1,58.69531731
Alternative 1,64.57865253
Alternative 1,59.65813647
Alternative 1,65.31140792
Alternative 1,58.75230937
Alternative 1,61.45569186
Alternative 1,52.81564562
Alternative 1,58.55043215
Alternative 1,58.91282184
Alternative 1,55.96661833
Alternative 1,54.85642846
Alternative 1,62.79263721
Alternative 1,62.65663494
Alternative 1,53.80507202
Alternative 1,60.69751518
Alternative 1,54.54981872
Alternative 1,54.7957071
Alternative 1,61.10164979
Alternative 1,56.255904
Alternative 1,62.97391993
Alternative 1,59.1540944
Alternative 1,61.1445959
Alternative 1,56.90549321
Alternative 1,54.39511466
Alternative 1,62.65900896
Alternative 1,59.95228597
Alternative 1,58.04372896
Alternative 1,59.27694131
Alternative 1,64.30363337
Alternative 1,56.20733346
Alternative 1,56.00236622
Alternative 1,56.52153979
Alternative 1,52.66003493
Alternative 1,62.27851255
Alternative 1,59.76947859
Alternative 1,59.8286879
Alternative 1,58.82661058
Alternative 1,56.95935823
Alternative 1,55.70632554
Alternative 1,62.40742561
Alternative 1,53.29526131
Alternative 1,60.76119577
Alternative 1,55.8295534
Alternative 1,60.12924086
Alternative 1,56.03723791
Alternative 1,56.90663327
Alternative 1,66.07746367
Alternative 1,61.67313048
Alternative 1,50.4204119
Alternative 1,59.50564966
Alternative 1,57.19274825
Alternative 1,54.45349525
Alternative 1,59.83914356
Alternative 1,59.51986206
Alternative 1,57.68597371
Alternative 1,66.89081427
Alternative 1,50.00523973
