Alternative,Value
Alternative 1,65.31857306
Alternative 1,66.30946753
Alternative 1,71.67612494
Alternative 1,67.21152517
Alternative 1,67.38786321
Alternative 1,72.14519496
Alternative 1,68.38274862
Alternative 1,63.2048163
Alternative 1,64.93944144
Alternative 1,65.66301409
Alternative 1,70.67224539
Alternative 1,68.07944148
Alternative 1,68.20231435
Alternative 1,67.33204815
Alternative 1,65.3324766
Alternative 1,72.36073941
Alternative 1,68.49355143
Alternative 1,61.10014853
Alternative 1,69.1040677
Alternative 1,65.58162578
Alternative 1,63.79652888
Alternative 1,66.34607526
Alternative 1,63.92198666
Alternative 1,64.81332631
Alternative 1,65.1248822
Alternative 1,61.93992007
Alternative 1,69.51336113
Alternative 1,67.46011935
Alternative 1,63.58558919
Alternative 1,70.76144476
Alternative 1,68.27939266
Alternative 1,66.11478555
Alternative 1,69.68537698
Alternative 1,69.63440046
Alternative 1,69.46474324
Alternative 1,69.06592076
Alternative 1,68.66175296
Alternative 1,66.81426487
Alternative 1,66.08211201
Alternative 1,65.858587
Alternative 1,64.91587906
Alternative 1,66.37624817
Alternative 1,63.20381095
Alternative 1,73.5068679
Alternative 1,70.62388599
Alternative 1,63.63067425
Alternative 1,65.79134549
Alternative 1,65.60003394
Alternative 1,69.33989536
Alternative 1,66.7498928
Alternative 1,67.75995554
Alternative 1,66.91435973
Alternative 1,66.87138863
Alternative 1,71.10580685
Alternative 1,66.32268704
Alternative 1,71.54941181
Alternative 1,62.35374159
Alternative 1,68.75384125
Alternative 1,67.37156273
Alternative 1,67.64782471
Alternative 1,68.13891845
Alternative 1,65.49302964
Alternative 1,66.00037785
Alternative 1,63.94427385
Alternative 1,63.78462632
Alternative 1,67.91058592
Alternative 1,68.34462934
Alternative 1,67.15901268
Alternative 1,69.7668024
Alternative 1,73.15025406
Alternative 1,65.5269065
Alternative 1,60.07249337
Alternative 1,70.01721557
Alternative 1,64.87239771
Alternative 1,64.93597415
Alternative 1,70.07671411
Alternative 1,66.14568098
Alternative 1,63.33784686
Alternative 1,67.54391044
Alternative 1,66.58332591
Alternative 1,67.01729256
Alternative 1,68.1558412
Alternative 1,65.8880199
Alternative 1,68.93312965
Alternative 1,66.33854031
Alternative 1,67.99534589
Alternative 1,70.29051704
Alternative 1,68.30554447
Alternative 1,66.02220524
Alternative 1,70.44642286
Alternative 1,69.98051157
Alternative 1,68.64519088
Alternative 1,67.71619521
Alternative 1,65.11628177
Alternative 1,71.08195735
Alternative 1,65.19922124
Alternative 1,73.56199898
Alternative 1,71.59783188
Alternative 1,66.29289892
Alternative 1,63.9207373
Alternative 1,64.86878031
Alternative 1,67.77065113
Alternative 1,66.25992436
Alternative 1,65.9573722
Alternative 1,64.1451443
Alternative 1,66.86491683
Alternative 1,64.64528659
Alternative 1,61.99617419
Alternative 1,65.85932044
Alternative 1,69.75698983
Alternative 1,65.27395911
Alternative 1,68.82389297
Alternative 1,62.14635188
Alternative 1,66.8333141
Alternative 1,68.55822161
Alternative 1,67.90346009
Alternative 1,67.31702858
Alternative 1,65.07788198
Alternative 1,64.45088696
Alternative 1,63.92761363
Alternative 1,67.35293979
Alternative 1,64.15757616
Alternative 1,65.52832767
Alternative 1,66.23172342
Alternative 1,72.53158602
Alternative 1,65.04415029
Alternative 1,67.70615972
Alternative 1,67.23388255
Alternative 1,64.1144301
Alternative 1,66.78607574
Alternative 1,71.33365258
Alternative 1,68.35451216
Alternative 1,67.12369877
Alternative 1,65.7325095
Alternative 1,60.84025834
Alternative 1,70.39401164
Alternative 1,62.61807979
Alternative 1,69.21984253
Alternative 1,72.72731071
Alternative 1,62.66832052
Alternative 1,69.10535301
Alternative 1,66.21340753
Alternative 1,62.28356752
Alternative 1,62.45599704
Alternative 1,62.19539148
Alternative 1,65.40728043
Alternative 1,62.61473325
Alternative 1,69.06375032
Alternative 1,73.30032682
Alternative 1,63.13890857
Alternative 1,69.36321654
Alternative 1,69.30712672
Alternative 1,67.99660774
Alternative 1,63.97487018
Alternative 1,66.64164218
Alternative 1,66.15881399
Alternative 1,68.6889686
Alternative 1,65.88268373
Alternative 1,69.93092016
Alternative 1,65.87625743
Alternative 1,70.1581344
Alternative 1,63.85246898
Alternative 1,63.21953427
Alternative 1,76.7231198
Alternative 1,65.74942724
Alternative 1,67.89468277
Alternative 1,68.90970902
Alternative 1,65.54865812
Alternative 1,68.55058613
Alternative 1,68.10689358
Alternative 1,66.35385848
Alternative 1,67.1958791
Alternative 1,66.89779824
Alternative 1,73.3853557
Alternative 1,64.77599171
Alternative 1,63.7120112
Alternative 1,67.1133652
Alternative 1,67.93144225
Alternative 1,68.30957044
Alternative 1,65.624904
Alternative 1,63.8100216
Alternative 1,70.78955553
Alternative 1,65.95104884
Alternative 1,64.40346141
Alternative 1,66.29116129
Alternative 1,66.40847232
Alternative 1,70.32976087
Alternative 1,67.25421188
Alternative 1,69.26216136
Alternative 1,65.50212395
Alternative 1,67.64333593
Alternative 1,66.02594227
Alternative 1,67.28375058
Alternative 1,64.31390993
Alternative 1,63.0675954
Alternative 1,72.99164015
Alternative 1,68.80212647
Alternative 1,63.24618592
Alternative 1,65.16650225
Alternative 1,63.44355975
Alternative 1,73.59643105
Alternative 1,70.93723893
Alternative 1,66.20456483
Alternative 1,68.62958218
Alternative 1,65.75698016
Alternative 1,65.57125932
Alternative 1,64.63419149
Alternative 1,65.2161482
Alternative 1,71.9527224
Alternative 1,66.83791562
Alternative 1,67.35773571
Alternative 1,67.73106229
Alternative 1,70.69742764
Alternative 1,65.45180851
Alternative 1,64.02247855
Alternative 1,72.0270908
Alternative 1,65.67651035
Alternative 1,64.83080209
Alternative 1,63.29118064
Alternative 1,63.14585283
Alternative 1,65.27807956
Alternative 1,68.85395745
Alternative 1,70.32954442
Alternative 1,69.12276506
Alternative 1,65.90902811
Alternative 1,67.17924981
Alternative 1,64.88621061
Alternative 1,64.84834552
Alternative 1,69.6539515
Alternative 1,63.95322226
Alternative 1,72.8658819
Alternative 1,66.72904122
Alternative 1,67.64361648
Alternative 1,64.78441689
Alternative 1,65.27683393
Alternative 1,63.0489516
Alternative 1,66.45122383
Alternative 1,68.25694721
Alternative 1,67.97291303
Alternative 1,64.65539054
Alternative 1,64.63413409
Alternative 1,65.49340384
Alternative 1,71.48818201
Alternative 1,63.58808914
Alternative 1,66.46284522
Alternative 1,72.70708547
Alternative 1,66.69707534
Alternative 1,62.92047789
Alternative 1,65.00569169
Alternative 1,68.45637994
Alternative 1,65.87319138
Alternative 1,65.31437091
Alternative 1,65.9682483
Alternative 1,67.27148994
Alternative 1,71.79552631
Alternative 1,66.73430466
Alternative 1,70.24239849
Alternative 1,68.89226235
Alternative 1,66.65908031
Alternative 1,62.40129399
Alternative 1,65.43664805
Alternative 1,65.53038864
Alternative 1,67.1414633
Alternative 1,70.90059603
Alternative 1,73.87923692
Alternative 1,71.64274318
Alternative 1,66.60054711
Alternative 1,61.73041781
Alternative 1,65.83366041
Alternative 1,67.26762167
Alternative 1,69.53503901
Alternative 1,69.88758391
Alternative 1,69.05292829
Alternative 1,62.81417695
Alternative 1,69.54892914
Alternative 1,65.66032835
Alternative 1,67.5244081
Alternative 1,67.22365353
Alternative 1,68.28450029
Alternative 1,67.07402495
Alternative 1,61.99757471
Alternative 1,69.20948789
Alternative 1,68.15807971
Alternative 1,66.20304512
Alternative 1,67.35443353
Alternative 1,67.40211594
Alternative 1,67.66305841
Alternative 1,71.9225385
Alternative 1,66.34284886
Alternative 1,67.50419615
Alternative 1,70.50515162
Alternative 1,70.16254307
Alternative 1,70.43578933
Alternative 1,65.267596
Alternative 1,73.00744819
Alternative 1,67.20010261
Alternative 1,72.60055553
Alternative 1,62.94729194
Alternative 1,67.06295076
Alternative 1,70.74974371
Alternative 1,64.85427344
Alternative 1,64.7419331
Alternative 1,64.18438389
Alternative 1,63.84246016
Alternative 1,65.6885214
Alternative 1,67.99353752
Alternative 1,60.95736851
Alternative 1,67.6359413
Alternative 1,70.71002514
Alternative 1,73.11272205
